id,Sector_name,Symbol,max_positions,created_at
1,Commercial Bank,ADBL,3,"Saturday, 8 February 2025"
2,Commercial Bank,CZBIL,3,"Sunday, 9 February 2025"
3,Commercial Bank,EBL,3,"Monday, 10 February 2025"
4,Commercial Bank,GBIME,3,"Tuesday, 11 February 2025"
5,Commercial Bank,HBL,3,"Wednesday, 12 February 2025"
6,Commercial Bank,KBL,3,"Thursday, 13 February 2025"
7,Commercial Bank,LSL,3,"Friday, 14 February 2025"
8,Commercial Bank,MBL,3,"Saturday, 15 February 2025"
9,Commercial Bank,NABIL,3,"Sunday, 16 February 2025"
10,Commercial Bank,NBL,3,"Monday, 17 February 2025"
11,Commercial Bank,NICA,3,"Tuesday, 18 February 2025"
12,Commercial Bank,NIMB,3,"Wednesday, 19 February 2025"
13,Commercial Bank,NMB,3,"Thursday, 20 February 2025"
14,Commercial Bank,PCBL,3,"Friday, 21 February 2025"
15,Commercial Bank,PRVU,3,"Saturday, 22 February 2025"
16,Commercial Bank,SANIMA,3,"Sunday, 23 February 2025"
17,Commercial Bank,SBI,3,"Monday, 24 February 2025"
18,Commercial Bank,SBL,3,"Tuesday, 25 February 2025"
19,Commercial Bank,SCB,3,"Wednesday, 26 February 2025"
20,Corporate Debentures,ADBLD83,3,"Thursday, 27 February 2025"
21,Corporate Debentures,CCBD88,3,"Friday, 28 February 2025"
22,Corporate Debentures,CIZBD90,3,"Saturday, 1 March 2025"
23,Corporate Debentures,EBLD85,3,"Sunday, 2 March 2025"
24,Corporate Debentures,EBLD91,3,"Monday, 3 March 2025"
25,Corporate Debentures,GBBD85,3,"Tuesday, 4 March 2025"
26,Corporate Debentures,ICFCD88,3,"Wednesday, 5 March 2025"
27,Corporate Debentures,KBLD89,3,"Thursday, 6 March 2025"
28,Corporate Debentures,KBLD90,3,"Friday, 7 March 2025"
29,Corporate Debentures,MBLD2085,3,"Saturday, 8 March 2025"
30,Corporate Debentures,NABILD2089,3,"Sunday, 9 March 2025"
31,Corporate Debentures,NCCD86,3,"Monday, 10 March 2025"
