Symbol,Date,Open,High,Low,Close,Percent Change,Vol,Turnover
ACLBSL,11/08/2025,"1,175.00","1,175.00","1,118.00","1,119.27",-0.94%,"2,022.00","23,06,321.30"
ACLBSL,11/08/2025,333.3,344.9,333,334.44,-0.32%,"3,77,771.00","12,70,70,981.70"
ACLBSL,11/08/2025,"1,080.00","1,080.10","1,080.00","1,080.10",1.02%,425,"4,59,002.50"
ACLBSL,11/08/2025,640,657.5,633,635.19,1.60%,"9,409.00","60,54,632.00"
ACLBSL,11/08/2025,292.3,308,292.3,296.97,0.67%,"1,77,196.00","5,31,37,470.10"
ACLBSL,11/08/2025,212,215,208.9,209.03,-0.50%,"1,51,537.00","3,19,90,933.80"
ACLBSL,11/08/2025,274,275,265.1,265.73,-0.17%,"1,77,842.00","4,78,75,880.70"
ACLBSL,11/08/2025,"1,023.10","1,026.00",997.2,"1,014.23",0.10%,"54,878.00","5,54,92,206.40"
ACLBSL,11/08/2025,500,509,490,491.68,0.77%,"31,558.00","1,56,53,428.90"
ACLBSL,11/08/2025,"5,698.20","5,812.10","5,650.00","5,715.62",1.50%,"2,587.00","1,46,75,939.00"
ACLBSL,11/08/2025,301,305,297.6,297.92,0.34%,"1,20,347.00","3,60,31,402.60"
ACLBSL,11/08/2025,"1,165.00","1,165.00","1,105.00","1,116.44",-1.02%,"13,946.00","1,56,46,427.50"
ACLBSL,11/08/2025,399,407.1,379.4,381.72,-1.01%,"96,404.00","3,75,61,332.81"
ACLBSL,11/08/2025,"5,690.00","5,690.00","5,488.00","5,512.00",1.22%,811,"45,03,971.00"
ACLBSL,11/08/2025,752,765,741.6,749.63,-0.88%,"16,227.00","1,21,78,583.00"
ACLBSL,11/08/2025,535,535,516,519.21,3.13%,"28,375.00","1,47,46,629.30"
ACLBSL,11/08/2025,273.8,273.8,273.8,273.8,0.38%,"71,160.00","1,94,83,608.00"
ACLBSL,11/08/2025,932,935,911.4,914.21,-0.66%,"5,954.00","54,76,937.80"
ACLBSL,11/08/2025,615,615,582.1,588.41,-0.35%,"72,752.00","4,30,02,355.20"
ACLBSL,11/08/2025,222.3,222.3,209,211.27,-0.75%,"7,84,628.00","16,71,18,504.10"
ACLBSL,11/08/2025,808,815,795.5,795.67,-0.68%,"2,635.00","21,23,129.50"
ACLBSL,11/08/2025,523,550.6,523,541.36,0.38%,"64,105.00","3,47,61,706.90"
ACLBSL,11/08/2025,"17,400.00","17,400.00","17,100.00","17,400.00",1.21%,180,"30,92,990.00"
ACLBSL,11/08/2025,"12,779.00","12,780.00","12,540.00","12,546.70",-0.21%,211,"26,59,418.00"
ACLBSL,11/08/2025,"1,040.00","1,040.00","1,040.00","1,040.00",-0.68%,26,"27,040.00"
ACLBSL,11/08/2025,892.6,909.6,860,866.97,0.21%,"3,34,911.00","29,71,87,851.10"
ACLBSL,11/08/2025,10.2,10.31,10.1,10.24,-0.31%,"26,230.00","2,68,482.40"
ACLBSL,11/08/2025,"1,077.36","1,096.50","1,060.50","1,064.72",-1.45%,"51,948.00","5,56,90,538.90"
ACLBSL,11/08/2025,"1,111.00","1,133.00","1,111.00","1,115.90",-0.77%,89,"1,00,101.50"
ACLBSL,11/08/2025,"1,135.00","1,135.00","1,135.00","1,135.00",0.23%,65,"73,775.00"
ACLBSL,11/08/2025,542,542,525,525.47,-0.93%,"12,759.00","67,86,715.80"
ACLBSL,11/08/2025,"1,006.90","1,011.00",974.2,985.27,-0.95%,"51,755.00","5,13,53,174.90"
ACLBSL,11/08/2025,539.8,539.8,525.2,526.85,-1.01%,"49,883.00","2,64,28,228.70"
ACLBSL,11/08/2025,"2,730.00","2,745.00","2,675.00","2,682.05",-3.63%,"23,279.00","6,27,55,150.70"
ACLBSL,11/08/2025,320,320,309,310.06,1.36%,"11,137.00","34,75,372.80"
ACLBSL,11/08/2025,"1,973.00","1,989.00","1,951.80","1,957.72",1.41%,"18,858.00","3,70,69,087.20"
ACLBSL,11/08/2025,962,963,940,961.15,0.95%,"1,01,105.00","9,63,48,276.70"
ACLBSL,11/08/2025,656.8,679,656.8,670.48,0.32%,"3,159.00","21,18,486.50"
ACLBSL,11/08/2025,485.5,499.8,485,486.85,1.15%,"21,121.00","1,03,43,416.30"
ACLBSL,11/08/2025,9.9,10.09,9.9,9.91,-0.13%,"9,800.00","98,600.00"
ACLBSL,11/08/2025,"2,081.60","2,085.00","2,009.00","2,018.63",-0.54%,"4,850.00","98,90,860.60"
ACLBSL,11/08/2025,"1,338.00","1,350.00","1,328.90","1,329.84",0.26%,"14,077.00","1,88,12,713.70"
ACLBSL,11/08/2025,"1,906.30","1,982.80","1,830.00","1,833.43",0.54%,"7,008.00","1,31,52,500.30"
ACLBSL,11/08/2025,228,228,217.6,218.53,0.00%,"1,00,856.00","2,22,06,213.70"
ACLBSL,11/08/2025,927,944,909.5,911.4,-0.32%,"25,625.00","2,36,18,594.50"
ACLBSL,11/08/2025,324,324,310,311.77,-0.25%,"25,828.00","81,46,331.20"
